,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123,B125,B126,B127,B128,B129,B130,B131,B132,B133,B134,B135,B136,B137,B138,B139,B140,B141,B142,B143,B144,B145,B146,B147,B148,B149,B150,B151,B152,B153,B154,B155,B156,B157,B158,B159,B160,B161,B162,B163,B164,B165,B166,B167,B168,B169,B170,B171,B172,B173,B174,B175,B176,B177,B178,B179,B180,B181,B182,B183,B184,B185,B186,B187,B188,B189,B190,B191,B192,B193,B194,B195,B196,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species
ASV114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,d__Eukaryota,s__Obazoa,d__Opisthokonta,s__Metazoa,c__Unc. Metazoa,o__Unc. Metazoa,f__Unc. Metazoa,g__Unc. Metazoa,s__Unc. Metazoa sp.
ASV116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,d__Eukaryota,s__Unc. Eukaryota,d__Unc. Eukaryota,s__Unc. Eukaryota,c__Unc. Eukaryota,o__Unc. Eukaryota,f__Unc. Eukaryota,g__Unc. Eukaryota,s__Unc. Eukaryota sp.
ASV117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,28,0,0,0,0,0,0,d__Eukaryota,s__Unc. Eukaryota,d__Unc. Eukaryota,s__Unc. Eukaryota,c__Unc. Eukaryota,o__Unc. Eukaryota,f__Unc. Eukaryota,g__Unc. Eukaryota,s__Unc. Eukaryota sp.
ASV118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__Unc. Eukaryota,d__Unc. Eukaryota,s__Unc. Eukaryota,c__Unc. Eukaryota,o__Unc. Eukaryota,f__Unc. Eukaryota,g__Unc. Eukaryota,s__Unc. Eukaryota sp.
ASV120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Filosa-Granofilosea_X,f__Novel-Gran-234,g__Novel-Gran-234_X,s__Novel-Gran-234_X_sp.
ASV122,0,0,0,0,0,0,0,0,0,80,50,35,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,46,50,52,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,9,0,9,0,0,0,8,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Filosa-Granofilosea_X,f__Novel-Gran-234,g__Novel-Gran-234_X,s__Novel-Gran-234_X_sp.
ASV124,0,0,0,0,6,0,0,0,0,20,19,15,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,17,21,31,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,13,18,0,0,0,0,0,0,0,0,10,0,0,3,0,0,17,0,0,14,0,0,0,0,35,0,0,0,0,14,8,0,0,6,8,11,0,28,0,0,0,0,14,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Filosa-Granofilosea_X,f__Novel-Gran-234,g__Novel-Gran-234_X,s__Novel-Gran-234_X_sp.
ASV125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Filosa-Granofilosea_X,f__Novel-Gran-234,g__Novel-Gran-234_X,s__Novel-Gran-234_X_sp.
ASV134,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Cryptofilida,f__Mesofilidae,g__Mesofilidae_X,s__Mesofilidae_X_sp.
ASV138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Cryptofilida,f__Mesofilidae,g__Mesofila,s__Unc. Mesofila sp.
