,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B118,B119,B120,B121,B122,B123,B125,B126,B127,B128,B129,B130,B131,B132,B133,B134,B135,B136,B137,B138,B139,B140,B141,B142,B143,B144,B145,B146,B147,B148,B149,B150,B151,B152,B153,B154,B155,B156,B157,B158,B159,B160,B161,B162,B163,B164,B165,B166,B167,B168,B169,B170,B171,B172,B173,B174,B175,B176,B177,B178,B179,B180,B181,B182,B183,B184,B185,B186,B187,B188,B189,B190,B191,B192,B193,B194,B195,B196,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV19587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__Unc. Vicinamibacteraceae,s__Unc. Vicinamibacteraceae sp.
ASV19588,0,23,0,0,0,0,0,16,16,0,0,24,0,0,9,0,15,0,12,11,0,18,23,16,32,0,0,0,25,0,0,0,33,22,34,15,0,23,0,15,13,13,21,0,14,23,0,0,16,0,10,16,17,0,17,19,0,9,0,0,14,0,0,8,0,0,13,0,48,11,0,0,14,0,0,22,0,0,21,23,29,0,0,8,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__Unc. Vicinamibacteraceae,s__Unc. Vicinamibacteraceae sp.
ASV19589,0,0,0,0,0,0,13,0,0,0,0,0,19,0,0,12,8,0,0,0,23,12,12,0,0,36,20,19,7,0,26,0,35,18,7,12,0,0,0,0,0,0,0,17,0,0,0,10,8,0,0,0,6,0,10,0,0,6,9,8,0,0,15,12,0,11,0,0,32,16,5,12,0,0,14,0,0,0,9,0,0,0,22,0,0,0,7,0,6,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__Unc. Vicinamibacteraceae,s__Unc. Vicinamibacteraceae sp.
ASV19642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19643,0,0,0,2,7,8,11,8,4,12,4,9,14,2,5,0,0,0,5,4,2,12,9,6,10,21,0,16,7,5,5,9,0,0,0,9,5,4,16,19,23,8,3,0,3,14,38,4,4,10,0,1,0,0,9,9,9,14,0,1,0,2,10,3,5,5,10,0,0,0,0,4,14,17,1,3,0,7,18,12,13,12,2,0,13,16,0,4,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19644,31,0,0,12,10,5,0,11,14,0,17,0,0,11,11,21,0,16,0,13,17,0,0,14,11,0,8,0,11,8,13,8,0,0,9,8,26,14,0,0,0,0,12,17,13,0,0,19,13,0,0,4,0,0,13,0,0,0,0,18,12,11,0,8,14,13,8,10,7,1,0,12,0,0,12,8,12,17,0,0,0,0,13,0,0,0,0,10,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19646,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19650,0,0,0,0,4,4,0,4,0,0,1,0,0,3,0,0,0,22,0,0,1,0,0,0,1,0,12,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,3,2,0,1,2,0,0,0,0,0,0,1,0,0,3,0,2,7,0,0,0,0,1,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,11,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19661,0,30,0,0,16,28,28,20,0,22,31,38,29,23,23,0,29,0,27,19,20,24,0,32,24,29,0,20,20,15,25,0,9,0,0,30,30,52,34,29,0,0,22,0,27,27,0,31,24,37,0,10,0,26,0,32,28,28,33,39,0,22,25,23,10,0,30,0,0,0,0,26,30,29,31,0,23,28,37,37,39,33,24,30,30,0,0,0,13,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19708,0,0,0,14,0,0,2,0,6,0,8,0,12,15,0,0,0,0,0,0,0,0,0,0,0,14,17,12,8,0,8,10,0,0,0,0,11,13,10,0,3,11,0,0,12,0,0,0,0,0,0,7,0,13,0,0,0,4,0,0,0,0,13,12,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,14,0,0,11,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19711,0,21,0,14,24,16,22,24,18,27,0,0,0,0,0,0,23,30,24,0,37,29,0,33,29,13,12,0,16,0,16,0,10,0,0,0,0,16,21,0,24,18,0,26,14,25,21,0,19,0,0,11,0,18,23,23,37,21,22,0,13,0,16,21,11,0,0,24,11,0,0,0,0,0,0,23,27,0,14,0,29,0,0,0,12,12,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19713,186,162,194,217,138,170,184,223,134,172,242,165,197,159,131,177,147,199,204,174,216,192,215,251,236,175,188,177,194,220,172,142,37,28,85,280,351,220,273,235,250,265,237,187,231,221,201,168,181,187,60,78,48,186,288,183,237,220,217,173,225,240,206,169,201,141,193,152,47,35,30,220,205,263,224,254,259,212,246,219,163,221,200,105,140,132,61,88,80,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,8,0,0,0,6,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,14,0,18,9,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,12,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19730,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
ASV19733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Unc. Vicinamibacterales,g__Unc. Vicinamibacterales,s__Unc. Vicinamibacterales sp.
